Run,Plate,Well,SampleName,Detector,Task,Ct,StdDevCt,Comment,RH,Temp,Input,Method,Type
9/30/2021,1,A1,NTC N1,N1 Probe,Unknown,Undetermined,,,42.3,24.8,,PCR,CTRL
9/30/2021,1,A3,NEG.CTRL-CDC0300 N1,N1 Probe,Unknown,Undetermined,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,A5,SD-4-CDC0300 N1,N1 Probe,Unknown,26.7697,,,42.3,24.8,300,CDC,SD
9/30/2021,1,A6,SD-3-CDC0300 N1,N1 Probe,Unknown,23.278,,,42.3,24.8,300,CDC,SD
9/30/2021,1,A7,SD-2-CDC0300 N1,N1 Probe,Unknown,25.0061,,,42.3,24.8,300,CDC,SD
9/30/2021,1,A8,SD-1-CDC0300 N1,N1 Probe,Unknown,20.8932,,,42.3,24.8,300,CDC,SD
9/30/2021,1,A10,POS.CTRL-CDC0300 N1,N1 Probe,Unknown,25.7424,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,A12,nCoV PC N1,N1 Probe,Unknown,19.628,,,42.3,24.8,,PCR,CTRL
9/30/2021,1,B3,NEG.CTRL-NTP0300 N1,N1 Probe,Unknown,Undetermined,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,B5,SD-4-NTP0300 N1,N1 Probe,Unknown,27.0992,,,42.3,24.8,300,NTP,SD
9/30/2021,1,B6,SD-3-NTP0300 N1,N1 Probe,Unknown,23.7422,,,42.3,24.8,300,NTP,SD
9/30/2021,1,B7,SD-2-NTP0300 N1,N1 Probe,Unknown,20.18,,,42.3,24.8,300,NTP,SD
9/30/2021,1,B8,SD-1-NTP0300 N1,N1 Probe,Unknown,25.4467,,,42.3,24.8,300,NTP,SD
9/30/2021,1,B10,POS.CTRL-NTP0300 N1,N1 Probe,Unknown,25.9075,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,C1,A1-CDC0300 N1,N1 Probe,Unknown,26.6259,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C2,A1-CDC0300 N1,N1 Probe,Unknown,26.7743,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C3,A2-CDC0300 N1,N1 Probe,Unknown,27.5627,,Remove,42.3,24.8,300,CDC,Sample
9/30/2021,1,C4,A2-CDC0300 N1,N1 Probe,Unknown,27.0894,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C5,A3-CDC0300 N1,N1 Probe,Unknown,27.1725,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C6,A3-CDC0300 N1,N1 Probe,Unknown,27.0373,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C7,B1-CDC0300 N1,N1 Probe,Unknown,33.8846,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C8,B1-CDC0300 N1,N1 Probe,Unknown,33.1872,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C9,B2-CDC0300 N1,N1 Probe,Unknown,33.4558,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C10,B2-CDC0300 N1,N1 Probe,Unknown,33.3874,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C11,B3-CDC0300 N1,N1 Probe,Unknown,34.2652,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,C12,B3-CDC0300 N1,N1 Probe,Unknown,32.4762,,,42.3,24.8,300,CDC,Sample
9/30/2021,1,D1,A1-NTP0300 N1,N1 Probe,Unknown,28.532,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,D2,A1-NTP0300 N1,N1 Probe,Unknown,28.5065,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,D3,A2-NTP0300 N1,N1 Probe,Unknown,29.0204,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,D4,A2-NTP0300 N1,N1 Probe,Unknown,28.663,,,42.3,24.8,300,NTP,Sample
9/30/2021,1,D5,A3-NTP0300 N1,N1 Probe,Unknown,28.8153,,,42.3,24.8,300,NTP,Sample
