Plate,Well,Sample Name,Detector,Task,Ct
1,A1,NTC N1,N1 Probe,Unknown,Undetermined
1,A3,NEG.CTRL-CDC0300 N1,N1 Probe,Unknown,Undetermined
1,A5,SD-4-CDC0300 N1,N1 Probe,Unknown,26.7697
1,A6,SD-3-CDC0300 N1,N1 Probe,Unknown,23.278
1,A7,SD-2-CDC0300 N1,N1 Probe,Unknown,25.0061
1,A8,SD-1-CDC0300 N1,N1 Probe,Unknown,20.8932
1,A10,POS.CTRL-CDC0300 N1,N1 Probe,Unknown,25.7424
1,A12,nCoV PC N1,N1 Probe,Unknown,19.628
1,B3,NEG.CTRL-NTP0300 N1,N1 Probe,Unknown,Undetermined
1,B5,SD-4-NTP0300 N1,N1 Probe,Unknown,27.0992
1,B6,SD-3-NTP0300 N1,N1 Probe,Unknown,23.7422
1,B7,SD-2-NTP0300 N1,N1 Probe,Unknown,20.18
1,B8,SD-1-NTP0300 N1,N1 Probe,Unknown,25.4467
1,B10,POS.CTRL-NTP0300 N1,N1 Probe,Unknown,25.9075
1,C1,A1-CDC0300 N1,N1 Probe,Unknown,26.6259
1,C2,A1-CDC0300 N1,N1 Probe,Unknown,26.7743
1,C3,A2-CDC0300 N1,N1 Probe,Unknown,27.5627
1,C4,A2-CDC0300 N1,N1 Probe,Unknown,27.0894
1,C5,A3-CDC0300 N1,N1 Probe,Unknown,27.1725
1,C6,A3-CDC0300 N1,N1 Probe,Unknown,27.0373
1,C7,B1-CDC0300 N1,N1 Probe,Unknown,33.8846
1,C8,B1-CDC0300 N1,N1 Probe,Unknown,33.1872
1,C9,B2-CDC0300 N1,N1 Probe,Unknown,33.4558
1,C10,B2-CDC0300 N1,N1 Probe,Unknown,33.3874
1,C11,B3-CDC0300 N1,N1 Probe,Unknown,34.2652
1,C12,B3-CDC0300 N1,N1 Probe,Unknown,32.4762
1,D1,A1-NTP0300 N1,N1 Probe,Unknown,28.532
1,D2,A1-NTP0300 N1,N1 Probe,Unknown,28.5065
1,D3,A2-NTP0300 N1,N1 Probe,Unknown,29.0204
1,D4,A2-NTP0300 N1,N1 Probe,Unknown,28.663
1,D5,A3-NTP0300 N1,N1 Probe,Unknown,28.8153
1,D6,A3-NTP0300 N1,N1 Probe,Unknown,28.7449
1,D7,B1-NTP0300 N1,N1 Probe,Unknown,40.7669
1,D8,B1-NTP0300 N1,N1 Probe,Unknown,37.5307
1,D9,B2-NTP0300 N1,N1 Probe,Unknown,37.0893
1,D10,B2-NTP0300 N1,N1 Probe,Unknown,35.5618
1,D11,B3-NTP0300 N1,N1 Probe,Unknown,Undetermined
1,D12,B3-NTP0300 N1,N1 Probe,Unknown,35.5512
1,E1,NTC N2,N2 Probe,Unknown,Undetermined
1,E3,NEG.CTRL-CDC0300 N2,N2 Probe,Unknown,Undetermined
1,E5,SD-4-CDC0300 N2,N2 Probe,Unknown,25.8727
1,E6,SD-3-CDC0300 N2,N2 Probe,Unknown,22.7636
