Document Name: 2021.05.11_CDCvCERES1_MYC.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Tuesday, May 11, 2021 16:13:23
Last Modified: Tuesday, May 11, 2021 17:25:02
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,CDC 120 I,N1 Probe,Unknown,31.3614,0.358-999.9,,,,,,,,
A2,CDC 120 I,N1 Probe,Unknown,30.8557,0.358-999.9,,,,,,,,
A3,CDC 120 II,N1 Probe,Unknown,36.3333,1.92-999.9,,,,,,,,
A4,CDC 120 II,N1 Probe,Unknown,33.6235,1.92-999.9,,,,,,,,
A5,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A6,CDC 120 III,N1 Probe,Unknown,35.0058,-999.9,,,,,,,,
A7,CDC 120 I,N2 Probe,Unknown,33.3794,0.22-999.9,,,,,,,,
A8,CDC 120 I,N2 Probe,Unknown,33.6905,0.22-999.9,,,,,,,,
A9,CDC 120 II,N2 Probe,Unknown,37.9649,1.35-999.9,,,,,,,,
A10,CDC 120 II,N2 Probe,Unknown,36.0601,1.35-999.9,,,,,,,,
A11,CDC 120 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
A12,CDC 120 III,N2 Probe,Unknown,39.7256,-999.9,,,,,,,,
B1,CDC 300 I,N1 Probe,Unknown,29.7982,0.0392-999.9,,,,,,,,
B2,CDC 300 I,N1 Probe,Unknown,29.8536,0.0392-999.9,,,,,,,,
B3,CDC 300 II,N1 Probe,Unknown,34.3688,0.987-999.9,,,,,,,,
B4,CDC 300 II,N1 Probe,Unknown,32.9725,0.987-999.9,,,,,,,,
B5,CDC 300 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
B6,CDC 300 III,N1 Probe,Unknown,35.4453,-999.9,,,,,,,,
B7,CDC 300 I,N2 Probe,Unknown,32.2032,0.13-999.9,,,,,,,,
B8,CDC 300 I,N2 Probe,Unknown,32.3864,0.13-999.9,,,,,,,,
B9,CDC 300 II,N2 Probe,Unknown,34.9339,0.155-999.9,,,,,,,,
B10,CDC 300 II,N2 Probe,Unknown,34.7147,0.155-999.9,,,,,,,,
B11,CDC 300 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
B12,CDC 300 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
C1,CERES 300 II,N1 Probe,Unknown,Undetermined,0.0303,,,,,,,,
C2,CERES 300 II,N1 Probe,Unknown,Undetermined,0.0303,,,,,,,,
C3,CERES 300 II,N1 Probe,Unknown,32.147,0.0303-999.9,,,,,,,,
