Document Name: 2021.05.12_CDCvCERES1_MYC2.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Wednesday, May 12, 2021 12:04:31
Last Modified: Wednesday, May 12, 2021 15:40:10
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,CDC 120 I,N1 Probe,Unknown,31.9863,0.74-999.9,,,,,,,,
A2,CDC 120 I,N1 Probe,Unknown,30.9397,0.74-999.9,,,,,,,,
A3,CDC 120 II,N1 Probe,Unknown,33.9473,0.728-999.9,,,,,,,,
A4,CDC 120 II,N1 Probe,Unknown,34.9765,0.728-999.9,,,,,,,,
A5,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A6,CDC 120 III,N1 Probe,Unknown,36.6485,-999.9,,,,,,,,
A7,CDC 120 I,N2 Probe,Unknown,32.6738,0.0868-999.9,,,,,,,,
A8,CDC 120 I,N2 Probe,Unknown,32.5512,0.0868-999.9,,,,,,,,
A9,CDC 120 II,N2 Probe,Unknown,36.6605,0.885-999.9,,,,,,,,
A10,CDC 120 II,N2 Probe,Unknown,37.9117,0.885-999.9,,,,,,,,
A11,CDC 120 III,N2 Probe,Unknown,38.4198,-999.9,,,,,,,,
A12,CDC 120 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
B1,CDC 300 I,N1 Probe,Unknown,29.4925,0.359-999.9,,,,,,,,
B2,CDC 300 I,N1 Probe,Unknown,29.9999,0.359-999.9,,,,,,,,
B3,CDC 300 II,N1 Probe,Unknown,32.7131,0.585-999.9,,,,,,,,
B4,CDC 300 II,N1 Probe,Unknown,33.5397,0.585-999.9,,,,,,,,
