Document Name: 2021.05.13_CDCvCERES_MYC.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Thursday, May 13, 2021 10:51:18
Last Modified: Thursday, May 13, 2021 12:00:52
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,CDC 120 I,N1 Probe,Unknown,31.8691,0.363-999.9,,,,,,,,
A2,CDC 120 I,N1 Probe,Unknown,31.3562,0.363-999.9,,,,,,,,
A3,CDC 120 II,N1 Probe,Unknown,34.5232,1.18-999.9,,,,,,,,
A4,CDC 120 II,N1 Probe,Unknown,36.1894,1.18-999.9,,,,,,,,
A5,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A6,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A7,CDC 120 I,N2 Probe,Unknown,32.9964,0.0791-999.9,,,,,,,,
A8,CDC 120 I,N2 Probe,Unknown,32.8845,0.0791-999.9,,,,,,,,
A9,CDC 120 II,N2 Probe,Unknown,37.0474,0.511-999.9,,,,,,,,
A10,CDC 120 II,N2 Probe,Unknown,36.3253,0.511-999.9,,,,,,,,
A11,CDC 120 III,N2 Probe,Unknown,39.4602,0.105-999.9,,,,,,,,
A12,CDC 120 III,N2 Probe,Unknown,39.3121,0.105-999.9,,,,,,,,
B1,CDC 300 I,N1 Probe,Unknown,31.5639,0.558-999.9,,,,,,,,
B2,CDC 300 I,N1 Probe,Unknown,30.7744,0.558-999.9,,,,,,,,
B3,CDC 300 II,N1 Probe,Unknown,34.7808,0.261-999.9,,,,,,,,
B4,CDC 300 II,N1 Probe,Unknown,34.4115,0.261-999.9,,,,,,,,
B5,CDC 300 III,N1 Probe,Unknown,38.1034,0.628-999.9,,,,,,,,
B6,CDC 300 III,N1 Probe,Unknown,37.2147,0.628-999.9,,,,,,,,
B7,CDC 300 I,N2 Probe,Unknown,32.1318,0.0505-999.9,,,,,,,,
B8,CDC 300 I,N2 Probe,Unknown,32.2032,0.0505-999.9,,,,,,,,
B9,CDC 300 II,N2 Probe,Unknown,35.8681,0.248-999.9,,,,,,,,
B10,CDC 300 II,N2 Probe,Unknown,36.2182,0.248-999.9,,,,,,,,
B11,CDC 300 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
B12,CDC 300 III,N2 Probe,Unknown,36.6912,-999.9,,,,,,,,
C1,CERES 300 I,N1 Probe,Unknown,31.0681,0.165-999.9,,,,,,,,
C2,CERES 300 I,N1 Probe,Unknown,31.3016,0.165-999.9,,,,,,,,
C3,CERES 300 II,N1 Probe,Unknown,34.6069,0.299-999.9,,,,,,,,
C4,CERES 300 II,N1 Probe,Unknown,35.0301,0.299-999.9,,,,,,,,
C5,CERES 300  III,N1 Probe,Unknown,38.0971,0.0825-999.9,,,,,,,,
C6,CERES 300  III,N1 Probe,Unknown,38.2137,0.0825-999.9,,,,,,,,
C7,CERES 300 I,N2 Probe,Unknown,32.6085,0.282-999.9,,,,,,,,
C8,CERES 300 I,N2 Probe,Unknown,32.2101,0.282-999.9,,,,,,,,
C9,CERES 300 II,N2 Probe,Unknown,35.9134,0.606-999.9,,,,,,,,
C10,CERES 300 II,N2 Probe,Unknown,35.057,0.606-999.9,,,,,,,,
C11,CERES 300  III,N2 Probe,Unknown,Undetermined,,,,,,,,,
C12,CERES 300  III,N2 Probe,Unknown,Undetermined,,,,,,,,,
D1,CERES 1000 I,N1 Probe,Unknown,28.795,0.468-999.9,,,,,,,,
D2,CERES 1000 I,N1 Probe,Unknown,29.4568,0.468-999.9,,,,,,,,
D3,CERES 1000 II,N1 Probe,Unknown,32.2924,0.168-999.9,,,,,,,,
D4,CERES 1000 II,N1 Probe,Unknown,32.0554,0.168-999.9,,,,,,,,
D5,CERES 1000 III,N1 Probe,Unknown,36.4598,-999.9,,,,,,,,
D6,CERES 1000 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
D7,CERES 1000 I,N2 Probe,Unknown,30.9113,0.354-999.9,,,,,,,,
D8,CERES 1000 I,N2 Probe,Unknown,30.4111,0.354-999.9,,,,,,,,
D9,CERES 1000 II,N2 Probe,Unknown,33.2976,0.0997-999.9,,,,,,,,
D10,CERES 1000 II,N2 Probe,Unknown,33.4387,0.0997-999.9,,,,,,,,
D11,CERES 1000 III,N2 Probe,Unknown,37.1377,0.219-999.9,,,,,,,,
D12,CERES 1000 III,N2 Probe,Unknown,36.8286,0.219-999.9,,,,,,,,
E1,CERES BR I,N1 Probe,Unknown,27.4638,0.401-999.9,,,,,,,,
E2,CERES BR I,N1 Probe,Unknown,28.0306,0.401-999.9,,,,,,,,
E3,CERES BR II,N1 Probe,Unknown,31.233,0.0924-999.9,,,,,,,,
E4,CERES BR II,N1 Probe,Unknown,31.1023,0.0924-999.9,,,,,,,,
E5,CERES BR III,N1 Probe,Unknown,34.7211,0.0105-999.9,,,,,,,,
E6,CERES BR III,N1 Probe,Unknown,34.7359,0.0105-999.9,,,,,,,,
E7,CERES BR I,N2 Probe,Unknown,29.6559,0.106-999.9,,,,,,,,
E8,CERES BR I,N2 Probe,Unknown,29.5053,0.106-999.9,,,,,,,,
E9,CERES BR II,N2 Probe,Unknown,33.2041,0.157-999.9,,,,,,,,
E10,CERES BR II,N2 Probe,Unknown,33.4256,0.157-999.9,,,,,,,,
E11,CERES BR III,N2 Probe,Unknown,36.3171,0.218-999.9,,,,,,,,
E12,CERES BR III,N2 Probe,Unknown,36.0086,0.218-999.9,,,,,,,,
G1,A1-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
G2,CDC -5,N1 Probe,Unknown,32.6952,-999.9,,,,,,,,
G3,CDC -4,N1 Probe,Unknown,29.3661,-999.9,,,,,,,,
G4,CDC -3,N1 Probe,Unknown,26.0619,-999.9,,,,,,,,
G5,CDC -2,N1 Probe,Unknown,23.1261,-999.9,,,,,,,,
G6,NTC,N1 Probe,Unknown,Undetermined,,,,,,,,,
G7,A1-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
G8,CDC -5,N2 Probe,Unknown,34.4637,-999.9,,,,,,,,
G9,CDC -4,N2 Probe,Unknown,30.8209,-999.9,,,,,,,,
G10,CDC -3,N2 Probe,Unknown,26.6883,-999.9,,,,,,,,
G11,CDC -2,N2 Probe,Unknown,21.9957,-999.9,,,,,,,,
G12,NTC,N2 Probe,Unknown,Undetermined,,,,,,,,,
H1,BR-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
H2,CERES -5,N1 Probe,Unknown,30.7557,-999.9,,,,,,,,
H3,CERES -4,N1 Probe,Unknown,26.7535,-999.9,,,,,,,,
H4,CERES -3,N1 Probe,Unknown,24.199,-999.9,,,,,,,,
H5,CERES -2,N1 Probe,Unknown,Undetermined,,,,,,,,,
H6,POS,N1 Probe,Unknown,21.3372,-999.9,,,,,,,,
H7,BR-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
H8,CERES -5,N2 Probe,Unknown,32.0406,-999.9,,,,,,,,
H9,CERES -4,N2 Probe,Unknown,27.8396,-999.9,,,,,,,,
H10,CERES -3,N2 Probe,Unknown,25.1671,-999.9,,,,,,,,
H11,CERES -2,N2 Probe,Unknown,22.0376,-999.9,,,,,,,,
H12,POS,N2 Probe,Unknown,20.62,-999.9,,,,,,,,
