Document Name: 2021.05.28_CDCvCERES3_MYC.sds 
Plate Type: Standard Curve
User: INSTR-ADMIN

Document Information

Operator: Administrator
Run Date: Friday, May 28, 2021 09:59:00
Last Modified: Friday, May 28, 2021 11:07:52
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4.1

Electronic Signatures
No associated Electronic Signatures

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,25.0 °C,2:00,100,,
2,1,50.0 °C,15:00,100,,
3,1,95.0 °C,2:00,100,,
4,45,95.0 °C,0:03,100,,
,,55.0 °C,0:30,100,,
Standard 7500 Mode
Data Collection :  Stage 4 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,CDC 120 I,N1 Probe,Unknown,30.4496,0.00522-999.9,,,,,,,,
A2,CDC 120 I,N1 Probe,Unknown,30.4422,0.00522-999.9,,,,,,,,
A3,CDC 120 II,N1 Probe,Unknown,33.2887,-999.9,,,,,,,,
A4,CDC 120 II,N1 Probe,Unknown,Undetermined,,,,,,,,,
A5,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A6,CDC 120 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
A7,CDC 120 I,N2 Probe,Unknown,32.5977,0.457-999.9,,,,,,,,
A8,CDC 120 I,N2 Probe,Unknown,31.9509,0.457-999.9,,,,,,,,
A9,CDC 120 II,N2 Probe,Unknown,34.4589,2.64-999.9,,,,,,,,
A10,CDC 120 II,N2 Probe,Unknown,38.1921,2.64-999.9,,,,,,,,
A11,CDC 120 III,N2 Probe,Unknown,Undetermined,,,,,,,,,
A12,CDC 120 III,N2 Probe,Unknown,36.657,-999.9,,,,,,,,
B1,CDC 300 I,N1 Probe,Unknown,29.5414,0.146-999.9,,,,,,,,
B2,CDC 300 I,N1 Probe,Unknown,29.7477,0.146-999.9,,,,,,,,
B3,CDC 300 II,N1 Probe,Unknown,32.5698,0.478-999.9,,,,,,,,
B4,CDC 300 II,N1 Probe,Unknown,33.246,0.478-999.9,,,,,,,,
B5,CDC 300 III,N1 Probe,Unknown,35.5231,-999.9,,,,,,,,
B6,CDC 300 III,N1 Probe,Unknown,Undetermined,,,,,,,,,
B7,CDC 300 I,N2 Probe,Unknown,31.3927,0.38-999.9,,,,,,,,
B8,CDC 300 I,N2 Probe,Unknown,30.8549,0.38-999.9,,,,,,,,
B9,CDC 300 II,N2 Probe,Unknown,34.6,0.548-999.9,,,,,,,,
B10,CDC 300 II,N2 Probe,Unknown,33.8253,0.548-999.9,,,,,,,,
B11,CDC 300 III,N2 Probe,Unknown,35.2649,1.29-999.9,,,,,,,,
B12,CDC 300 III,N2 Probe,Unknown,37.083,1.29-999.9,,,,,,,,
C1,CERES 300 I,N1 Probe,Unknown,29.8702,0.222-999.9,,,,,,,,
C2,CERES 300 I,N1 Probe,Unknown,29.5556,0.222-999.9,,,,,,,,
C3,CERES 300 II,N1 Probe,Unknown,32.5825,0.521-999.9,,,,,,,,
C4,CERES 300 II,N1 Probe,Unknown,33.3186,0.521-999.9,,,,,,,,
C5,CERES 300  III,N1 Probe,Unknown,36.945,0.388-999.9,,,,,,,,
C6,CERES 300  III,N1 Probe,Unknown,36.396,0.388-999.9,,,,,,,,
C7,CERES 300 I,N2 Probe,Unknown,31.4746,0.127-999.9,,,,,,,,
C8,CERES 300 I,N2 Probe,Unknown,31.2947,0.127-999.9,,,,,,,,
C9,CERES 300 II,N2 Probe,Unknown,34.3552,0.479-999.9,,,,,,,,
C10,CERES 300 II,N2 Probe,Unknown,33.6777,0.479-999.9,,,,,,,,
C11,CERES 300  III,N2 Probe,Unknown,37.4809,0.253-999.9,,,,,,,,
C12,CERES 300  III,N2 Probe,Unknown,37.8385,0.253-999.9,,,,,,,,
D1,CERES 1000 I,N1 Probe,Unknown,27.5212,0.0219-999.9,,,,,,,,
D2,CERES 1000 I,N1 Probe,Unknown,27.4903,0.0219-999.9,,,,,,,,
D3,CERES 1000 II,N1 Probe,Unknown,30.5494,0.703-999.9,,,,,,,,
D4,CERES 1000 II,N1 Probe,Unknown,31.5435,0.703-999.9,,,,,,,,
D5,CERES 1000 III,N1 Probe,Unknown,36.1058,0.748-999.9,,,,,,,,
D6,CERES 1000 III,N1 Probe,Unknown,35.0475,0.748-999.9,,,,,,,,
D7,CERES 1000 I,N2 Probe,Unknown,29.474,0.0185-999.9,,,,,,,,
D8,CERES 1000 I,N2 Probe,Unknown,29.5002,0.0185-999.9,,,,,,,,
D9,CERES 1000 II,N2 Probe,Unknown,32.1524,0.0896-999.9,,,,,,,,
D10,CERES 1000 II,N2 Probe,Unknown,32.2792,0.0896-999.9,,,,,,,,
D11,CERES 1000 III,N2 Probe,Unknown,35.2273,0.477-999.9,,,,,,,,
D12,CERES 1000 III,N2 Probe,Unknown,35.9025,0.477-999.9,,,,,,,,
E1,CERES BR I,N1 Probe,Unknown,32.7532,0.203-999.9,,,,,,,,
E2,CERES BR I,N1 Probe,Unknown,32.4666,0.203-999.9,,,,,,,,
E3,CERES BR II,N1 Probe,Unknown,29.7052,0.0017-999.9,,,,,,,,
E4,CERES BR II,N1 Probe,Unknown,29.7028,0.0017-999.9,,,,,,,,
E5,CERES BR III,N1 Probe,Unknown,26.1646,0.0261-999.9,,,,,,,,
E6,CERES BR III,N1 Probe,Unknown,26.1277,0.0261-999.9,,,,,,,,
E7,CERES BR I,N2 Probe,Unknown,34.8417,0.845-999.9,,,,,,,,
E8,CERES BR I,N2 Probe,Unknown,33.6464,0.845-999.9,,,,,,,,
E9,CERES BR II,N2 Probe,Unknown,30.4598,0.192-999.9,,,,,,,,
E10,CERES BR II,N2 Probe,Unknown,30.7311,0.192-999.9,,,,,,,,
E11,CERES BR III,N2 Probe,Unknown,27.0791,0.0655-999.9,,,,,,,,
E12,CERES BR III,N2 Probe,Unknown,26.9864,0.0655-999.9,,,,,,,,
G2,CDC -5,N1 Probe,Unknown,30.1385,-999.9,,,,,,,,
G3,CDC -4,N1 Probe,Unknown,26.7704,-999.9,,,,,,,,
G4,CDC -3,N1 Probe,Unknown,24.1804,-999.9,,,,,,,,
G5,CDC -2,N1 Probe,Unknown,21.4585,-999.9,,,,,,,,
G6,NTC,N1 Probe,Unknown,Undetermined,,,,,,,,,
G8,CDC -5,N2 Probe,Unknown,32.6749,-999.9,,,,,,,,
G9,CDC -4,N2 Probe,Unknown,28.3464,-999.9,,,,,,,,
G10,CDC -3,N2 Probe,Unknown,24.8756,-999.9,,,,,,,,
G11,CDC -2,N2 Probe,Unknown,20.6447,-999.9,,,,,,,,
G12,NTC,N2 Probe,Unknown,Undetermined,,,,,,,,,
H1,BR-0,N1 Probe,Unknown,Undetermined,,,,,,,,,
H2,CERES -5,N1 Probe,Unknown,28.1309,-999.9,,,,,,,,
H3,CERES -4,N1 Probe,Unknown,25.1988,-999.9,,,,,,,,
H4,CERES -3,N1 Probe,Unknown,22.7031,-999.9,,,,,,,,
H5,CERES -2,N1 Probe,Unknown,19.5042,-999.9,,,,,,,,
H6,POS,N1 Probe,Unknown,19.8322,-999.9,,,,,,,,
H7,B3-0,N2 Probe,Unknown,Undetermined,,,,,,,,,
H8,CERES -5,N2 Probe,Unknown,30.023,-999.9,,,,,,,,
H9,CERES -4,N2 Probe,Unknown,26.1871,-999.9,,,,,,,,
H10,CERES -3,N2 Probe,Unknown,23.5152,-999.9,,,,,,,,
H11,CERES -2,N2 Probe,Unknown,20.2356,-999.9,,,,,,,,
H12,POS,N2 Probe,Unknown,19.5983,-999.9,,,,,,,,
